"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"89 643";"A";"2021";"Métropole";"Accident grave non mortel";"M10RENVP499L094";"VT";"5"
"89 643";"B";"2021";"Métropole";"Accident grave non mortel";"M10NSSVP0266077";"VT";"4"
"89 644";"A";"2021";"Métropole";"Accident grave non mortel";"LJS14L30N014";"Moto lourde";"20"
"89 644";"B";"2021";"Métropole";"Accident grave non mortel";"L3ETPHM10019043";"Moto lourde";"1"
"89 645";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"12"
"89 645";"B";"2021";"Métropole";"Accident grave non mortel";"LDB11C10A107";"Cyclo";"13"
"89 646";"A";"2021";"Métropole";"Accident grave non mortel";"L3EYAMM1000J931";"Moto lourde";"0"
"89 647";"A";"2021";"Métropole";"Accident grave non mortel";"M10CTRVP000R389";"VT";"10"
"89 648";"A";"2021";"Métropole";"Accident grave non mortel";"M1GLDRVP0001621";"VT";"4"
"89 649";"A";"2021";"DOM";"Accident grave non mortel";"N/A";"VU";"6"
"89 649";"B";"2021";"DOM";"Accident grave non mortel";"L3EHNDM20003673";"Moto lourde";"4"
"89 650";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VU";"18"
"89 651";"A";"2021";"Métropole";"Accident Léger";"L3EYAMM1000P998";"Moto lourde";"0"
"89 652";"A";"2021";"Métropole";"Accident Léger";"LKW19L40U141";"Moto lourde";"15"
"89 653";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"6"
"89 653";"B";"2021";"Métropole";"Accident grave non mortel";"N/A";"Autres";"N/A"
"89 654";"A";"2021";"Métropole";"Accident mortel";"M10RENVP000P330";"VT";"11"
"89 654";"B";"2021";"Métropole";"Accident mortel";"MMB89T4RV116";"VT";"13"
"89 655";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"16"
"89 655";"B";"2021";"Métropole";"Accident Léger";"N/A";"Moto légère";"8"
"89 656";"A";"2021";"Métropole";"Accident Léger";"VF620M861KB0034";"PL";"2"
"89 658";"A";"2021";"Métropole";"Accident Léger";"MCT5316VP063";"VT";"14"
"89 658";"B";"2021";"Métropole";"Accident Léger";"L5EPGGTM0016150";"Moto lourde";"0"
"89 659";"A";"2021";"Métropole";"Accident Léger";"MPE5312M0081";"VT";"16"
"89 659";"B";"2021";"Métropole";"Accident Léger";"MRE5522CP963";"VT";"N/A"
"89 660";"A";"2021";"Métropole";"Accident Léger";"L3EBMW0107M6D80";"Moto lourde";"0"
"89 660";"B";"2021";"Métropole";"Accident Léger";"MCT6714WD181";"VT";"14"
"89 661";"A";"2021";"Métropole";"Accident Léger";"LBM18M40B089";"Moto lourde";"15"
"89 662";"A";"2021";"Métropole";"Accident Léger";"L3EHNDML0003776";"Moto légère";"2"
"89 663";"A";"2021";"Métropole";"Accident Léger";"N10RENCT4272083";"VU";"5"
"89 664";"A";"2021";"Métropole";"Accident Léger";"N/A";"PL";"9"
"89 665";"A";"2021";"Métropole";"Accident Léger";"N/A";"Moto légère";"0"
"89 666";"A";"2021";"Métropole";"Accident Léger";"M10PGTVP0448882";"VT";"N/A"
"89 667";"A";"2021";"Métropole";"Accident Léger";"LPE92E20J281";"Moto légère";"14"
"89 668";"A";"2021";"Métropole";"Accident Léger";"N/A";"Moto légère";"4"
"89 669";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"2"
"89 671";"A";"2021";"Métropole";"Accident Léger";"N/A";"VU";"0"
"89 672";"A";"2021";"Métropole";"Accident Léger";" M10JT0VP020557";"VU";"2"
"89 674";"A";"2021";"Métropole";"Accident Léger";" L3EMD1ML001B15";"Moto légère";"3"
"89 674";"B";"2021";"Métropole";"Accident Léger";"MRE1002EG909";"VT";"20"
"89 675";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"3"
"89 676";"A";"2021";"Métropole";"Accident Léger";"N/A";"VU";"9"
"89 676";"B";"2021";"Métropole";"Accident Léger";"L3EHNDML0001907";"Moto légère";"1"
"89 678";"A";"2021";"Métropole";"Accident Léger";"L1EPGGCL0009351";"Cyclo";"0"
"89 678";"B";"2021";"Métropole";"Accident Léger";"MPE5012TA272";"VT";"17"
"89 679";"A";"2021";"Métropole";"Accident Léger";"L3EZERM2000P333";"Moto lourde";"0"
"89 680";"A";"2021";"Métropole";"Accident Léger";"M10JT0VP017Y436";"VT";"3"
"89 680";"B";"2021";"Métropole";"Accident Léger";"M10RENVP026M787";"VT";"8"
"89 681";"A";"2021";"Métropole";"Accident Léger";"N30MC2TR601Y642";"PL";"4"
"89 681";"B";"2021";"Métropole";"Accident Léger";"N10RENCT558R813";"VU";"2"
"89 681";"C";"2021";"Métropole";"Accident Léger";"M10RENVP018E859";"VT";"9"
"89 681";"D";"2021";"Métropole";"Accident Léger";"N10MCDCTJ44A548";"VU";"8"
"89 682";"A";"2021";"Métropole";"Accident grave non mortel";"MRE1001E5997";"VT";"18"
"89 683";"A";"2021";"Métropole";"Accident Léger";"M30HEUTC003M282";"TC";"0"
"89 684";"A";"2021";"Métropole";"Accident grave non mortel";"MPE1312TW276";"VT";"14"
"89 686";"A";"2021";"Métropole";"Accident Léger";"LJS92E20K377";"Moto légère";"13"
"89 686";"B";"2021";"Métropole";"Accident Léger";"M10DACVP0010370";"VT";"2"
"89 687";"A";"2021";"Métropole";"Accident grave non mortel";"MMB37H5MP132";"VT";"18"
"89 687";"B";"2021";"Métropole";"Accident grave non mortel";"L3EHNDM10008995";"Moto lourde";"1"
"89 688";"A";"2021";"Métropole";"Accident Léger";"VSSZZZ6LZ3R0083";"VT";"19"
"89 688";"B";"2021";"Métropole";"Accident Léger";"M10PELVP629Y175";"VT";"0"
"89 689";"A";"2021";"Métropole";"Accident Léger";"VF3PSCFBCFR0765";"VT";"5"
"89 689";"B";"2021";"Métropole";"Accident Léger";"VF1MAFEBC476878";"VU";"8"
"89 690";"A";"2021";"Métropole";"Accident Léger";"MCT5212SG525";"VT";"12"
"89 690";"B";"2021";"Métropole";"Accident Léger";"M10PGTVP049R192";"VT";"4"
"89 691";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"Cyclo";"0"
"89 692";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"1"
"89 693";"A";"2021";"Métropole";"Accident Léger";"L1ERDECL000R081";"Cyclo";"0"
"89 693";"B";"2021";"Métropole";"Accident Léger";"N/A";"Moto lourde";"N/A"
"89 694";"A";"2021";"Métropole";"Accident Léger";"M10RENVP001F938";"VT";"10"
"89 694";"B";"2021";"Métropole";"Accident Léger";"MCT5212YT374";"VT";"12"
"89 695";"A";"2021";"Métropole";"Accident Léger";"M10AVDVP005P239";"VT";"8"
"89 695";"B";"2021";"Métropole";"Accident Léger";"MRE5001EJ999";"VT";"19"
"89 696";"A";"2021";"Métropole";"Accident Léger";"L3EYAMML000J973";"Moto légère";"0"
"89 696";"B";"2021";"Métropole";"Accident Léger";"M10CTRVP075P226";"VT";"1"
"89 697";"A";"2021";"Métropole";"Accident Léger";"M10RENVP002R392";"VT";"9"
